name,min,max,default,type,offset
main_freq,0,1000,110,float,0
master_gain,0,1,1,float,
fmod_env_amp_factor,0,100,1,float,
fmod_env_durations,0,1000,0,list<float:4>,
fmod_env_amps,0,100,0,list<float:3>,
